fhwa_id,name,states,assigned_state,state_assignment_method,state_length_summary,designations,style,geometry_source,geometry_source_detail,segment_count,continuous_part_count,endpoint_marker_count,point_count,status,source_url
2091,Geronimo Trail Scenic Byway,New Mexico,New Mexico,ArcGIS longest geometry length by State,New Mexico:147.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,725,1,2,5076,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2091
2483,Glenn Highway,Alaska,Alaska,ArcGIS longest geometry length by State,Alaska:151.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,148,1,2,30751,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2483
2109,Gold Belt Tour Scenic and Historic Byway,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:132.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,25,1,2,1945,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2109
2103,Grand Mesa Scenic and Historic Byway,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:61.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,9,2,4,2110,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2103
2243,Grand Rounds Scenic Byway,Minnesota,Minnesota,ArcGIS longest geometry length by State,Minnesota:38.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,8,4,7,486,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2243
2488,Great Lakes Seaway Trail,"New York, Pennsylvania",New York,ArcGIS longest geometry length by State,New York:451.3mi; Pennsylvania:57.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,328,2,4,8384,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2488
2279,Great River Road,"Arkansas, Illinois, Iowa, Kentucky, Louisiana, Minnesota, Mississippi, Missouri, Tennessee, Wisconsin",Louisiana,ArcGIS longest geometry length by State,Louisiana:796.2mi; Minnesota:571.2mi; Illinois:487.9mi; Mississippi:432.7mi; Arkansas:374.5mi; Iowa:321.2mi; Wisconsin:245.6mi; Tennessee:137.9mi; Kentucky:64.4mi; Missouri:28.9mi,"All-American Road, National Scenic Byway",all-american-road-purple,ArcGIS,FeatureServer layer 2,44,16,27,23250,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2279
13548,Gunflint Trail Scenic Byway,Minnesota,Minnesota,ArcGIS longest geometry length by State,Minnesota:55.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,7,1,2,769,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13548
12395,Haines Highway - Valley of the Eagles,Alaska,Alaska,ArcGIS longest geometry length by State,Alaska:49.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,27,1,2,9992,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/12395
2260,Harriet Tubman Underground Railroad Byway,Maryland,Maryland,ArcGIS longest geometry length by State,Maryland:124.9mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,12,9,10,919,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2260
2145,Hells Canyon Scenic Byway,Oregon,Oregon,ArcGIS longest geometry length by State,Oregon:198.7mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,49,2,4,1910,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2145
2460,Highland Scenic Highway,West Virginia,West Virginia,ArcGIS longest geometry length by State,West Virginia:44.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,13,1,2,2374,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2460
2240,Historic Bluff Country Scenic Byway,Minnesota,Minnesota,ArcGIS longest geometry length by State,Minnesota:87.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,26,1,2,956,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2240
2141,Historic Columbia River Highway,Oregon,Oregon,ArcGIS longest geometry length by State,Oregon:24.7mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,2,1,2,448,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2141
2278,Historic National Road,"Illinois, Indiana, Maryland, Ohio, Pennsylvania, West Virginia",Illinois,FHWA first state fallback,,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,9,1,2,4961,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2278
2489,Historic Route 66,"Arizona, Illinois, New Mexico, Oklahoma, California, Missouri",Arizona,FHWA first state fallback,,"All-American Road, National Scenic Byway",all-american-road-purple,ArcGIS,FeatureServer layer 1,10,3,6,7794,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2489
2598,Hocking Hills Scenic Byway,Ohio,Ohio,ArcGIS longest geometry length by State,Ohio:32.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,4,1,2,649,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2598
58611,Illinois River Road,Illinois,Illinois,ArcGIS longest geometry length by State,Illinois:280.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,71,2,4,2370,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/58611
16199,Indian River Lagoon National Scenic Byway,Florida,Florida,ArcGIS longest geometry length by State,Florida:171.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,217,1,2,1495,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/16199
76130,Indiana's Historic Pathways,Indiana,Indiana,ArcGIS longest geometry length by State,Indiana:236.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,699,1,2,5087,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/76130
2486,International Selkirk Loop,"Idaho, Washington",Idaho,ArcGIS longest geometry length by State,Idaho:88.2mi; Washington:73.9mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,104,1,2,6123,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2486
2061,Jemez Mountain Trail,New Mexico,New Mexico,ArcGIS longest geometry length by State,New Mexico:128.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,919,1,2,5333,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2061
2343,Journey Through Hallowed Ground Byway,"Maryland, Pennsylvania, Virginia",Virginia,ArcGIS longest geometry length by State,Virginia:160.4mi; Maryland:37.1mi; Pennsylvania:13.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,173,1,2,13373,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2343
10465,Kaibab Plateau-North Rim Parkway,Arizona,Arizona,ArcGIS longest geometry length by State,Arizona:40.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,3,1,2,2762,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10465
2458,Kancamagus Scenic Byway,New Hampshire,New Hampshire,ArcGIS longest geometry length by State,New Hampshire:35.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,5,1,2,486,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2458
81500,Katahdin Woods & Waters Scenic Byway,Maine,Maine,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,OSM补齐,OSRM public route over OSM road network using documented byway endpoints/waypoints,1,1,2,1598,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81500
59836,Lake Erie Coastal Ohio Trail,Ohio,Ohio,ArcGIS longest geometry length by State,Ohio:293.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,522,1,2,4548,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/59836
2456,Lake Tahoe - Eastshore Drive,Nevada,Nevada,ArcGIS longest geometry length by State,Nevada:28.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,13,1,2,1964,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2456
2479,Lakes to Locks Passage,New York,New York,ArcGIS longest geometry length by State,New York:190.8mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,102,1,2,4488,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2479
